kernel,n,threads,precision,elapsed_ms,gflops
naive-ijk,64,1,f16,0.34565,1.5168175900477359
ikj,64,1,f16,0.031195999999999998,16.806257212463137
tiled,64,1,f16,0.031046,16.88745732139406
rayon-ikj,64,1,f16,0.038149999999999996,13.742804718217561
rayon-ikj,64,2,f16,0.024788,21.150879457802162
rayon-ikj,64,4,f16,0.052958,9.900071754975642
rayon-ikj,64,8,f16,0.075996,6.8988894152323805
rayon-ikj,64,10,f16,0.090671,5.782311874800102
rayon-tiled,64,1,f16,0.039562,13.252312825438553
rayon-tiled,64,2,f16,0.041220999999999994,12.718953931248636
rayon-tiled,64,4,f16,0.046883,11.182902118038523
rayon-tiled,64,8,f16,0.043692,11.99963380023803
rayon-tiled,64,10,f16,0.06301699999999999,8.319786724217275
static-ikj,64,1,f16,0.042075,12.460796197266786
static-ikj,64,2,f16,0.024758,21.176508603279746
static-ikj,64,4,f16,0.031683,16.547927910867024
static-ikj,64,8,f16,0.077117,6.798604717507164
static-ikj,64,10,f16,0.041933,12.50299286957766
static-tiled,64,1,f16,0.037287,14.060879126773408
static-tiled,64,2,f16,0.025704,20.39713663243075
static-tiled,64,4,f16,0.025196,20.808382282902045
static-tiled,64,8,f16,0.08614999999999999,6.085757399883923
static-tiled,64,10,f16,0.055333,9.475141416514557
mps,64,1,f16,0.21184599999999998,2.47485437534813
naive-ijk,128,1,f16,1.4063210000000002,2.982465596403666
ikj,128,1,f16,0.099533,42.13983302020436
tiled,128,1,f16,0.154333,27.1769744643077
rayon-ikj,128,1,f16,0.106942,39.22036243945316
rayon-ikj,128,2,f16,0.058332999999999996,71.90276515865806
rayon-ikj,128,4,f16,0.042796,98.00691653425554
rayon-ikj,128,8,f16,0.043337,96.78344140111221
rayon-ikj,128,10,f16,0.066025,63.52599772813328
rayon-tiled,128,1,f16,0.163625,25.633637891520245
rayon-tiled,128,2,f16,0.086617,48.42356581271575
rayon-tiled,128,4,f16,0.101825,41.191298796955564
rayon-tiled,128,8,f16,0.109387,38.34371543236399
rayon-tiled,128,10,f16,0.102146,41.06185264229632
static-ikj,128,1,f16,0.107871,38.88259124324425
static-ikj,128,2,f16,0.082388,50.90916152837792
static-ikj,128,4,f16,0.05798,72.34053121766127
static-ikj,128,8,f16,0.079083,53.03673355841332
static-ikj,128,10,f16,0.05105,82.16070519098923
static-tiled,128,1,f16,0.163275,25.688586740162304
static-tiled,128,2,f16,0.086692,48.38167304941632
static-tiled,128,4,f16,0.081883,51.22313544936067
static-tiled,128,8,f16,0.089962,46.623063071074455
static-tiled,128,10,f16,0.064329,65.20082699870976
mps,128,1,f16,0.247538,16.94408131276814
naive-ijk,256,1,f16,14.053146,2.3876811640610573
ikj,256,1,f16,0.565025,59.38574753329498
tiled,256,1,f16,1.2434749999999999,26.984404189871128
rayon-ikj,256,1,f16,0.578004,58.052248773364894
rayon-ikj,256,2,f16,0.339925,98.71128042950652
rayon-ikj,256,4,f16,0.19306299999999998,173.80042783961713
rayon-ikj,256,8,f16,0.152508,220.01752039237283
rayon-ikj,256,10,f16,0.148096,226.57216940363006
rayon-tiled,256,1,f16,1.266213,26.499832176734877
rayon-tiled,256,2,f16,0.6669039999999999,50.31373630987369
rayon-tiled,256,4,f16,0.349033,96.13541412989602
rayon-tiled,256,8,f16,0.37679199999999996,89.05293106010744
rayon-tiled,256,10,f16,0.37251599999999996,90.07514308110255
static-ikj,256,1,f16,0.563879,59.506440211463804
static-ikj,256,2,f16,0.30313300000000004,110.69211204322855
static-ikj,256,4,f16,0.205729,163.10015603050613
static-ikj,256,8,f16,0.1523,220.31800393959293
static-ikj,256,10,f16,0.215171,155.94309642098608
static-tiled,256,1,f16,1.266641,26.49087784147205
static-tiled,256,2,f16,0.66475,50.47676871004138
static-tiled,256,4,f16,0.364825,91.97404783115194
static-tiled,256,8,f16,0.234071,143.35151300246505
static-tiled,256,10,f16,0.304713,110.11815052196657
mps,256,1,f16,0.288117,116.46113210952495
naive-ijk,512,1,f16,119.979579,2.2373428731567726
ikj,512,1,f16,5.107392,52.55822462814681
tiled,512,1,f16,9.853579,27.242432013789106
rayon-ikj,512,1,f16,5.165058,51.971431104936286
rayon-ikj,512,2,f16,2.7446789999999996,97.80213132391803
rayon-ikj,512,4,f16,1.420496,188.9730460346245
rayon-ikj,512,8,f16,0.8169839999999999,328.5688042850289
rayon-ikj,512,10,f16,0.782679,342.9700503015923
rayon-tiled,512,1,f16,9.899879,27.11502393110057
rayon-tiled,512,2,f16,5.072488,52.91987994845922
rayon-tiled,512,4,f16,2.686308,99.92728160732128
rayon-tiled,512,8,f16,1.7193,156.13066713197233
rayon-tiled,512,10,f16,1.557325,172.369579888591
static-ikj,512,1,f16,5.205321,51.56943366220835
static-ikj,512,2,f16,2.706575,99.1790199791249
static-ikj,512,4,f16,1.423096,188.62779180041264
static-ikj,512,8,f16,0.9216380000000001,291.2591017297464
static-ikj,512,10,f16,1.042213,257.56295114338434
static-tiled,512,1,f16,9.938567,27.00947289483484
static-tiled,512,2,f16,5.210663,51.51656439881067
static-tiled,512,4,f16,2.682354,100.07458225126139
static-tiled,512,8,f16,1.4041,191.17972793960544
static-tiled,512,10,f16,1.699333,157.96518751769077
mps,512,1,f16,0.439517,610.7510198695386
naive-ijk,1024,1,f16,984.098634,2.1821833440325658
ikj,1024,1,f16,40.737825,52.714734966827514
tiled,1024,1,f16,82.24031699999999,26.112297791848253
rayon-ikj,1024,1,f16,40.852608,52.56662311497959
rayon-ikj,1024,2,f16,20.888996,102.80454110862964
rayon-ikj,1024,4,f16,10.814924999999999,198.56667041149154
rayon-ikj,1024,8,f16,5.628313,381.55014619833685
rayon-ikj,1024,10,f16,5.630113,381.4281610333576
rayon-tiled,1024,1,f16,82.559746,26.011267621874705
rayon-tiled,1024,2,f16,42.470908,50.563638714764465
rayon-tiled,1024,4,f16,21.818358,98.4255390804386
rayon-tiled,1024,8,f16,11.716892,183.28099704256041
rayon-tiled,1024,10,f16,12.375579,173.52591325222036
static-ikj,1024,1,f16,40.615758,52.873164351629235
static-ikj,1024,2,f16,20.951429,102.49819465774864
static-ikj,1024,4,f16,10.695692,200.7802438589294
static-ikj,1024,8,f16,5.806338,369.85164280825535
static-ikj,1024,10,f16,7.975054,269.27512315277113
static-tiled,1024,1,f16,83.341929,25.76714594642992
static-tiled,1024,2,f16,42.634241,50.36992796470798
static-tiled,1024,4,f16,21.96075,97.78735462131301
static-tiled,1024,8,f16,11.460408,187.38282685921826
static-tiled,1024,10,f16,14.032304,153.03856358870217
mps,1024,1,f16,1.939516,1107.2265699277552
naive-ijk,2048,1,f16,10498.054941,1.6364811653732418
ikj,2048,1,f16,339.44637500000005,50.61143806293409
tiled,2048,1,f16,704.855754,24.37359571303152
rayon-ikj,2048,1,f16,338.577696,50.74129036544688
rayon-ikj,2048,2,f16,174.432783,98.48991048890161
rayon-ikj,2048,4,f16,88.712633,193.65752771648658
rayon-ikj,2048,8,f16,46.260324999999995,371.3737243307305
rayon-ikj,2048,10,f16,43.486046,395.06625145914626
rayon-tiled,2048,1,f16,706.56275,24.31471116188902
rayon-tiled,2048,2,f16,364.432454,47.141435938084705
rayon-tiled,2048,4,f16,187.452438,91.64921708833683
rayon-tiled,2048,8,f16,98.939825,173.63957520644496
rayon-tiled,2048,10,f16,97.439875,176.31251255197117
static-ikj,2048,1,f16,339.44987100000003,50.6109168148719
static-ikj,2048,2,f16,173.750579,98.87661545001241
static-ikj,2048,4,f16,88.576204,193.9558076342942
static-ikj,2048,8,f16,47.217495,363.84541755127
static-ikj,2048,10,f16,53.599304000000004,320.524109492168
static-tiled,2048,1,f16,711.150512,24.157852513786843
static-tiled,2048,2,f16,366.05312499999997,46.9327209923423
static-tiled,2048,4,f16,188.207008,91.2817719518712
static-tiled,2048,8,f16,102.054525,168.3401023521495
static-tiled,2048,10,f16,98.62428700000001,174.19511670588807
mps,2048,1,f16,4.8879,3514.775094416825
naive-ijk,4096,1,f16,202773.666954,0.6777948810442855
ikj,4096,1,f16,2717.3257790000002,50.578754499793085
