kernel,n,threads,precision,elapsed_ms,gflops
naive-ijk,64,1,f16,0.21554199999999998,2.4324168839483717
ikj,64,1,f16,0.027541,19.036636287716494
tiled,64,1,f16,0.027667,18.94994036216431
rayon-ikj,64,1,f16,0.031834,16.469435195074446
rayon-ikj,64,2,f16,0.036875000000000005,14.21797966101695
rayon-ikj,64,4,f16,0.030625,17.119608163265305
rayon-ikj,64,8,f16,0.049082999999999995,10.681661675121733
rayon-ikj,64,10,f16,0.14725,3.5605297113752123
rayon-tiled,64,1,f16,0.074125,7.073025295109613
rayon-tiled,64,2,f16,0.076667,6.838509397785227
rayon-tiled,64,4,f16,0.071916,7.290283108070527
rayon-tiled,64,8,f16,0.087333,6.003320623361159
rayon-tiled,64,10,f16,0.090917,5.766666300031898
static-ikj,64,1,f16,0.06679199999999999,7.849562821894838
static-ikj,64,2,f16,0.053625,9.7769324009324
static-ikj,64,4,f16,0.057166,9.171325613126685
static-ikj,64,8,f16,0.080375,6.5230233281493
static-ikj,64,10,f16,0.053333,9.830461440384003
static-tiled,64,1,f16,0.074292,7.057125935497766
static-tiled,64,2,f16,0.041667,12.5828113375093
static-tiled,64,4,f16,0.054958,9.539794024527822
static-tiled,64,8,f16,0.051625000000000004,10.155699757869249
static-tiled,64,10,f16,0.044792,11.704947312020005
mps,64,1,f16,0.290083,1.8073723727347
naive-ijk,128,1,f16,1.421625,2.9503589202497142
ikj,128,1,f16,0.10475,40.04108830548926
tiled,128,1,f16,0.160458,26.139575465230777
rayon-ikj,128,1,f16,0.108167,38.77618867122135
rayon-ikj,128,2,f16,0.058208,72.0571742715778
rayon-ikj,128,4,f16,0.044417,94.43015061800662
rayon-ikj,128,8,f16,0.035292,118.84574407797801
rayon-ikj,128,10,f16,0.06166700000000001,68.01537288987626
rayon-tiled,128,1,f16,0.16541599999999998,25.35609614547565
rayon-tiled,128,2,f16,0.08683400000000001,48.3025542990073
rayon-tiled,128,4,f16,0.090125,46.53874063800278
rayon-tiled,128,8,f16,0.108,38.83614814814815
rayon-tiled,128,10,f16,0.101458,41.34029844861913
static-ikj,128,1,f16,0.110042,38.11548317914978
