kernel,n,threads,precision,elapsed_ms,gflops
naive-ijk,64,1,f32,0.32171700000000003,1.6296558776813161
ikj,64,1,f32,0.051761999999999996,10.128820370155713
tiled,64,1,f32,0.052367000000000004,10.011801325262093
rayon-ikj,64,1,f32,0.08502900000000001,6.165990426795564
rayon-ikj,64,2,f32,0.049892000000000006,10.508458269862903
rayon-ikj,64,4,f32,0.035292,14.855718009747251
rayon-ikj,64,8,f32,0.060578999999999994,8.654616286171775
rayon-ikj,64,10,f32,0.053962,9.715874133649605
rayon-tiled,64,1,f32,0.0596,8.796778523489934
rayon-tiled,64,2,f32,0.052496,9.987199024687595
rayon-tiled,64,4,f32,0.0522,10.04383141762452
rayon-tiled,64,8,f32,0.053063,9.880481691574166
rayon-tiled,64,10,f32,0.066675,7.863337082864642
static-ikj,64,1,f32,0.052696,9.949294064065585
static-ikj,64,2,f32,0.032833999999999995,15.967838216482916
static-ikj,64,4,f32,0.048028999999999995,10.916071540111183
static-ikj,64,8,f32,0.072654,7.21623035207972
static-ikj,64,10,f32,0.058154,9.015510540977406
mps,64,1,f32,0.235958,2.2219547546597274
naive-ijk,128,1,f32,1.448383,2.8958528234589886
ikj,128,1,f32,0.13425,31.24248789571694
tiled,128,1,f32,0.20497500000000002,20.462514940846443
rayon-ikj,128,1,f32,0.14016199999999998,29.924687147729056
rayon-ikj,128,2,f32,0.07925399999999999,52.92230045171222
rayon-ikj,128,4,f32,0.052221000000000004,80.3183393653894
rayon-ikj,128,8,f32,0.065392,64.14093467090775
rayon-ikj,128,10,f32,0.080138,52.33851605979685
rayon-tiled,128,1,f32,0.208979,20.070456840160972
rayon-tiled,128,2,f32,0.109529,38.294004327620996
rayon-tiled,128,4,f32,0.115387,36.34988343574233
rayon-tiled,128,8,f32,0.140446,29.86417555501759
rayon-tiled,128,10,f32,0.13273700000000002,31.598604759788152
static-ikj,128,1,f32,0.13880399999999998,30.21745771015245
static-ikj,128,2,f32,0.075254,55.73529646264651
static-ikj,128,4,f32,0.073408,57.13687881429817
static-ikj,128,8,f32,0.099054,42.34361055585842
static-ikj,128,10,f32,0.080238,52.2732869712605
mps,128,1,f32,0.350746,11.958237585033045
naive-ijk,256,1,f32,14.052004,2.387875209827723
ikj,256,1,f32,1.306658,25.679582568659892
tiled,256,1,f32,1.6087,20.85810405917822
rayon-ikj,256,1,f32,1.295725,25.896260394759693
rayon-ikj,256,2,f32,0.720196,46.59069475531661
rayon-ikj,256,4,f32,0.384713,87.21938691959981
rayon-ikj,256,8,f32,0.250933,133.71868984948173
rayon-ikj,256,10,f32,0.24640000000000004,136.17870129870127
rayon-tiled,256,1,f32,1.603988,20.919378449215333
rayon-tiled,256,2,f32,0.8284670000000001,40.50183290342283
rayon-tiled,256,4,f32,0.466113,71.98776262408472
rayon-tiled,256,8,f32,0.457975,73.26695125279764
rayon-tiled,256,10,f32,0.48903300000000005,68.61383996581007
static-ikj,256,1,f32,1.291492,25.981138094544914
static-ikj,256,2,f32,0.701079,47.86112834644884
static-ikj,256,4,f32,0.393271,85.32139923869292
