kernel,n,threads,precision,median_ms,min_ms,stddev_ms,gflops
naive-ijk,64,1,i64,0.370875,0.356792,0.017593715659291524,1.4136514998314795
ikj,64,1,i64,0.203875,0.203875,0.030592433775363467,2.571614960147149
tiled,64,1,i64,0.209292,0.208958,0.009521645745353056,2.5050551382757105
rayon-ikj,64,1,i64,0.186209,0.180292,0.004841435345019071,2.8155889350138823
rayon-ikj,64,2,i64,0.099042,0.097209,0.001020603742889476,5.29359261727348
rayon-ikj,64,4,i64,0.06804199999999999,0.064416,0.002259543715000882,7.705358455071868
rayon-ikj,64,8,i64,0.10045899999999999,0.066042,0.0528595611862225,5.218925133636608
rayon-ikj,64,10,i64,0.08620799999999999,0.063625,0.012598830691774534,6.08166295471418
rayon-tiled,64,1,i64,0.18720900000000001,0.18433300000000002,0.0017331206536187792,2.800549118899198
rayon-tiled,64,2,i64,0.170666,0.161292,0.011544475899753959,3.072012000046875
rayon-tiled,64,4,i64,0.182167,0.179459,0.007373893523776973,2.8780624372142043
rayon-tiled,64,8,i64,0.187083,0.18575,0.000769776396104742,2.80243528273547
rayon-tiled,64,10,i64,0.1655,0.16425,0.0024415435281804807,3.16790332326284
static-ikj,64,1,i64,0.163,0.159917,0.0028806300178953917,3.216490797546012
static-ikj,64,2,i64,0.093459,0.085208,0.0072916036507753145,5.609818209054238
static-ikj,64,4,i64,0.080083,0.07225,0.013120085643775353,6.546807687024712
static-ikj,64,8,i64,0.06949999999999999,0.066791,0.0020054803663960424,7.543712230215828
static-ikj,64,10,i64,0.066334,0.052542,0.013862508748419239,7.90375976120843
static-tiled,64,1,i64,0.155791,0.142458,0.013157181396484571,3.365329191031574
static-tiled,64,2,i64,0.077375,0.076583,0.002264524122194326,6.775935379644588
static-tiled,64,4,i64,0.05175,0.048084,0.015722039339729432,10.131169082125604
static-tiled,64,8,i64,0.078375,0.053834,0.020889381146888958,6.689480063795854
static-tiled,64,10,i64,0.096666,0.044791,0.024482990468894926,5.423706370388762
naive-ijk,128,1,i64,1.840125,1.794875,0.07313425098269623,2.2793581957747437
ikj,128,1,i64,0.860875,0.8605419999999999,0.0018704207548035606,4.872140554668216
tiled,128,1,i64,0.888333,0.812875,0.03355837130732062,4.7215447360393
rayon-ikj,128,1,i64,0.807042,0.792416,0.023356288386642235,5.197132243427232
rayon-ikj,128,2,i64,0.40462499999999996,0.40225,0.011062798651335935,10.365904232313872
rayon-ikj,128,4,i64,0.224458,0.21729099999999998,0.015389507162349296,18.68636448689733
rayon-ikj,128,8,i64,0.175833,0.131667,0.029610959638282575,23.853906832050868
rayon-ikj,128,10,i64,0.14024999999999999,0.117792,0.01415701455816162,29.905910873440284
rayon-tiled,128,1,i64,0.777,0.76425,0.010088048215586603,5.398074646074646
rayon-tiled,128,2,i64,0.400667,0.38425,0.013242585453754858,10.4683041029084
rayon-tiled,128,4,i64,0.396958,0.382541,0.01721462416086974,10.566115306909044
rayon-tiled,128,8,i64,0.377041,0.375208,0.005900818816062716,11.12426500035805
rayon-tiled,128,10,i64,0.37929100000000004,0.37054200000000004,0.0117360350289184,11.058274517454935
static-ikj,128,1,i64,0.702209,0.68625,0.02317826688300918,5.973013732378822
static-ikj,128,2,i64,0.348375,0.347,0.008811278607557468,12.039623968424829
static-ikj,128,4,i64,0.21970900000000002,0.20266699999999999,0.012024409436641785,19.090269401799652
static-ikj,128,8,i64,0.1625,0.152208,0.012853581862656038,25.81110153846154
static-ikj,128,10,i64,0.25583300000000003,0.18495799999999998,0.04612277120577211,16.394694976801272
static-tiled,128,1,i64,0.683833,0.682917,0.005872042889829739,6.1335209034954445
static-tiled,128,2,i64,0.35529099999999997,0.3535,0.0015627003231586103,11.805263854136468
static-tiled,128,4,i64,0.209667,0.194375,0.01621345729016486,20.004597766935188
static-tiled,128,8,i64,0.161292,0.15187499999999998,0.015656732759423347,26.004414354090716
static-tiled,128,10,i64,0.217375,0.20550000000000002,0.014833083098263823,19.295245543415756
naive-ijk,256,1,i64,11.991792,11.834291,0.713962839340046,2.798116578406297
ikj,256,1,i64,5.467208,5.231375,0.1402018794952479,6.1373981015538455
tiled,256,1,i64,5.790084,5.515584,0.13389452407212202,5.79515461261011
rayon-ikj,256,1,i64,5.573416,5.463916,0.09416800671778094,6.020442758983001
rayon-ikj,256,2,i64,2.8615,2.8019160000000003,0.03649016262364412,11.726168792591299
rayon-ikj,256,4,i64,1.474125,1.399791,0.045477455786356355,22.762270499448825
