kernel,n,threads,precision,elapsed_ms,gflops
naive-ijk,64,1,f64,0.155554,3.3704565617084743
ikj,64,1,f64,0.03265,16.05782542113323
tiled,64,1,f64,0.033025000000000006,15.875488266464798
rayon-ikj,64,1,f64,0.047221,11.102856779822536
rayon-ikj,64,2,f64,0.0431,12.164454756380511
rayon-ikj,64,4,f64,0.040012000000000006,13.10326901929421
rayon-ikj,64,8,f64,0.072016,7.280159964452344
rayon-ikj,64,10,f64,0.09125,5.7456219178082195
rayon-tiled,64,1,f64,0.079179,6.621553694792811
rayon-tiled,64,2,f64,0.08325,6.297753753753754
rayon-tiled,64,4,f64,0.044112,11.88538266231411
rayon-tiled,64,8,f64,0.079454,6.598635688574521
rayon-tiled,64,10,f64,0.050921,10.296105732409025
static-ikj,64,1,f64,0.071634,7.318982606025072
static-ikj,64,2,f64,0.0399,13.140050125313282
static-ikj,64,4,f64,0.040182999999999996,13.047507652489859
static-ikj,64,8,f64,0.053538,9.792820053046434
static-ikj,64,10,f64,0.134475,3.8987767242981968
static-tiled,64,1,f64,0.04575,11.45984699453552
static-tiled,64,2,f64,0.066042,7.938705672148027
static-tiled,64,4,f64,0.080367,6.52367265171028
static-tiled,64,8,f64,0.115625,4.534382702702702
static-tiled,64,10,f64,0.084554,6.200629183716914
naive-ijk,128,1,f64,1.622679,2.584802046492251
ikj,128,1,f64,0.293746,14.278676135164394
tiled,128,1,f64,0.28245400000000004,14.849511778909132
rayon-ikj,128,1,f64,0.366313,11.450055007602787
rayon-ikj,128,2,f64,0.204229,20.537259644810483
rayon-ikj,128,4,f64,0.123542,33.95042981334283
rayon-ikj,128,8,f64,0.130783,32.070712554383974
rayon-ikj,128,10,f64,0.125958,33.29922672636911
rayon-tiled,128,1,f64,0.290288,14.448768119936064
rayon-tiled,128,2,f64,0.175554,23.891816762933342
rayon-tiled,128,4,f64,0.168767,24.852631142344176
rayon-tiled,128,8,f64,0.17133299999999999,24.480421168134573
rayon-tiled,128,10,f64,0.179183,23.407934904538937
static-ikj,128,1,f64,0.298508,14.050893108392405
static-ikj,128,2,f64,0.16230899999999998,25.84147521086323
static-ikj,128,4,f64,0.134379,31.212496000119064
static-ikj,128,8,f64,0.13619599999999998,30.796087990836735
static-ikj,128,10,f64,0.132162,31.73608147576459
static-tiled,128,1,f64,0.287087,14.60987087537924
static-tiled,128,2,f64,0.17549199999999998,23.900257561598252
static-tiled,128,4,f64,0.11144100000000001,37.636991771430615
static-tiled,128,8,f64,0.104592,40.10157564632094
static-tiled,128,10,f64,0.14857499999999998,28.230213696786137
naive-ijk,256,1,f64,14.467492,2.319298465829461
ikj,256,1,f64,2.6199169999999996,12.807440846408493
tiled,256,1,f64,2.7582169999999997,12.165261834003633
rayon-ikj,256,1,f64,2.6426879999999997,12.697084180955148
rayon-ikj,256,2,f64,1.372688,24.444325294604454
rayon-ikj,256,4,f64,0.728129,46.08308692553105
rayon-ikj,256,8,f64,0.654842,51.24050076201588
rayon-ikj,256,10,f64,0.723029,46.40814130553546
rayon-tiled,256,1,f64,2.8586,11.73806478695865
rayon-tiled,256,2,f64,1.4799870000000002,22.67211266044904
rayon-tiled,256,4,f64,0.7768999999999999,43.190155747200414
rayon-tiled,256,8,f64,0.785988,42.690768815808894
rayon-tiled,256,10,f64,0.790612,42.4410861459224
static-ikj,256,1,f64,2.6486330000000002,12.66858488888419
static-ikj,256,2,f64,1.3889040000000001,24.158928190861282
static-ikj,256,4,f64,0.721383,46.51403207450134
static-ikj,256,8,f64,0.548117,61.21764513780818
static-ikj,256,10,f64,0.639171,52.49679976094035
static-tiled,256,1,f64,2.78005,12.06972248700563
static-tiled,256,2,f64,1.449087,23.15556760912216
static-tiled,256,4,f64,0.7737170000000001,43.36783604341122
static-tiled,256,8,f64,0.584392,57.417678544538596
static-tiled,256,10,f64,0.667979,50.23276480248631
naive-ijk,512,1,f64,129.840925,2.067417926974873
ikj,512,1,f64,20.822804,12.89141731344155
tiled,512,1,f64,26.187979,10.250331115661885
rayon-ikj,512,1,f64,20.833879,12.88456441548883
rayon-ikj,512,2,f64,10.633196,25.24503977919715
rayon-ikj,512,4,f64,5.502088,48.78792487506561
rayon-ikj,512,8,f64,3.109467,86.32844664374956
rayon-ikj,512,10,f64,2.982591,90.00075974211684
rayon-tiled,512,1,f64,26.071404,10.296164180494461
rayon-tiled,512,2,f64,13.340034000000001,20.12254661419903
rayon-tiled,512,4,f64,6.755125,39.738044225680504
rayon-tiled,512,8,f64,4.4015130000000005,60.98708694033165
rayon-tiled,512,10,f64,4.702854,57.079266334868144
static-ikj,512,1,f64,20.934229,12.82280116454253
static-ikj,512,2,f64,10.701054,25.084954809124408
static-ikj,512,4,f64,5.4656,49.113629976580796
static-ikj,512,8,f64,3.479913,77.1385537512001
static-ikj,512,10,f64,3.899887,68.83159845400648
static-tiled,512,1,f64,26.238616999999998,10.23054896529036
static-tiled,512,2,f64,13.236862,20.27938766756048
static-tiled,512,4,f64,6.766841,39.66924241311418
