kernel,backend,device,precision,n,threads,gops,mean_rel_error_f64,median_ms,min_ms,stddev_ms,block_size,repetitions,host,commit,timestamp
naive-ijk,cpu,Apple M1 Pro,f16,64,1,2.429598872988804,0.0,0.21579199999999998,0.214916,0.004024765372043443,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
ikj,cpu,Apple M1 Pro,f16,64,1,18.696526638613506,0.0,0.028042,0.027625,0.00020001749923444237,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
tiled,cpu,Apple M1 Pro,f16,64,1,18.836920202637156,0.0,0.027833,0.02775,0.00010038177125354994,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
rayon-ikj,cpu,Apple M1 Pro,f16,64,1,9.679103513209151,0.0,0.054167,0.04375,0.005806963638598058,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
rayon-ikj,cpu,Apple M1 Pro,f16,64,2,11.204650367584202,0.0,0.046792,0.043167000000000004,0.018596203133973345,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
rayon-ikj,cpu,Apple M1 Pro,f16,64,4,12.800625030519068,0.0,0.040958,0.038417,0.001645305655493837,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
rayon-ikj,cpu,Apple M1 Pro,f16,64,8,9.923494785456061,0.0,0.052833,0.045584,0.03826256950598064,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
rayon-ikj,cpu,Apple M1 Pro,f16,64,10,6.367896226300512,0.0,0.082333,0.078041,0.0020938080618815107,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,1,7.626007272727272,0.0,0.06875,0.055583,0.022451274157606286,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,2,9.045998826736604,0.0,0.057958,0.055042,0.00372609624137649,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,4,10.399032072515222,0.0,0.050417000000000003,0.047959,0.006871788362573458,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,8,7.397361552028218,0.0,0.07087500000000001,0.06929099999999999,0.0011378568890682184,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,10,7.543712230215828,0.0,0.06949999999999999,0.068583,0.0010139623760278304,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
static-ikj,cpu,Apple M1 Pro,f16,64,1,9.561367035051246,0.0,0.054833999999999994,0.04675,0.0041635121592232685,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
static-ikj,cpu,Apple M1 Pro,f16,64,2,17.142558200366206,0.0,0.030583999999999997,0.029750000000000002,0.0005570221719105964,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
static-ikj,cpu,Apple M1 Pro,f16,64,4,14.364054794520548,0.0,0.0365,0.026833,0.018512043490657645,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
static-ikj,cpu,Apple M1 Pro,f16,64,8,7.710117647058824,0.0,0.068,0.043542,0.022041957497010108,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
static-ikj,cpu,Apple M1 Pro,f16,64,10,9.32764019356675,0.0,0.056208,0.045333,0.012584378224608476,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
static-tiled,cpu,Apple M1 Pro,f16,64,1,11.346260387811634,0.0,0.046208,0.046042,0.003800408622766768,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
static-tiled,cpu,Apple M1 Pro,f16,64,2,15.196753623188407,0.0,0.034499999999999996,0.032458,0.001580846766767734,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
static-tiled,cpu,Apple M1 Pro,f16,64,4,14.648189539561914,0.0,0.035792,0.027583,0.007976951786240154,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
static-tiled,cpu,Apple M1 Pro,f16,64,8,7.096961082910322,0.0,0.07387500000000001,0.0675,0.0132101691699993,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T18:37:01Z
