kernel,backend,device,precision,n,threads,gflops,mean_rel_error_f64,median_ms,min_ms,stddev_ms,block_size,repetitions,host,commit,timestamp
naive-ijk,cpu,Apple M1 Pro,i32,64,1,3.1292929534086977,0.0,0.167542,0.162041,0.010271721438006386,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
ikj,cpu,Apple M1 Pro,i32,64,1,21.112551846333506,0.0,0.024833,0.0245,0.00022436644134094647,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
tiled,cpu,Apple M1 Pro,i32,64,1,21.32639114871461,0.0,0.024584,0.024457999999999997,0.0003044785706745219,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,64,1,17.92437606837607,0.0,0.029249999999999998,0.028,0.0013978301756651268,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,64,2,16.2358478880218,0.0,0.032292,0.026375,0.01468210258443933,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,64,4,25.318137917712964,0.0,0.020707999999999997,0.019917,0.0010598519707959223,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,64,8,13.965744119762395,0.0,0.037541,0.025084,0.008864536101793483,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,64,10,13.080058877828504,0.0,0.040083,0.032167,0.010651777893854153,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,64,1,14.05899388608817,0.0,0.037292,0.028166,0.004792379961981313,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,64,2,16.049960203269453,0.0,0.032666,0.031958,0.007107748919313342,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,64,4,16.62190095745355,0.0,0.031542,0.030292,0.0010240036621028273,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,64,8,10.699755102040815,0.0,0.049,0.044625,0.010449525907906059,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,64,10,15.515151515151516,0.0,0.033791999999999996,0.0315,0.0018337901461181422,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,64,1,18.50384696830663,0.0,0.028334,0.027416,0.010025627247210024,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,64,2,24.721237268955107,0.0,0.021208,0.017584,0.0023339648240708346,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,64,4,13.093451875530693,0.0,0.040042,0.018833000000000003,0.014453123129621503,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,64,8,9.686614318706697,0.0,0.054125,0.030875,0.012621489282172688,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,64,10,21.657633840052874,0.0,0.024208,0.0185,0.012117165283184015,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,64,1,18.001304721030046,0.0,0.029124999999999998,0.027792,0.003290624332858434,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,64,2,25.785078443908915,0.0,0.020333,0.016208,0.0023948831495503066,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,64,4,15.78800289086967,0.0,0.033207999999999994,0.026875,0.015026844868434626,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,64,8,13.120648664881502,0.0,0.039959,0.025625,0.020097684438760602,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,64,10,13.486508038585209,0.0,0.038875,0.027041000000000003,0.016616938105439277,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
naive-ijk,cpu,Apple M1 Pro,i32,128,1,3.282141171922746,0.0,1.277917,1.254458,0.014584489723675584,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
ikj,cpu,Apple M1 Pro,i32,128,1,31.078357130684132,0.0,0.134959,0.134209,0.0007969631735532034,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
tiled,cpu,Apple M1 Pro,i32,128,1,18.382605723001134,0.0,0.228167,0.19195900000000002,0.039234177810934176,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,128,1,28.39591626722994,0.0,0.147708,0.144708,0.005395777673329399,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,128,2,41.92543131884609,0.0,0.100042,0.096292,0.007004852996316198,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,128,4,57.09798796591249,0.0,0.073458,0.053666,0.013890253932164096,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,128,8,61.230715328467156,0.0,0.06849999999999999,0.058249999999999996,0.04305142141904261,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,128,10,54.44249166028478,0.0,0.077041,0.052042,0.017824927385546342,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,128,1,20.401998219697155,0.0,0.205583,0.193958,0.0067738477987034735,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,128,2,39.047292768302675,0.0,0.107416,0.103333,0.022355116432262213,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,128,4,37.39372002211009,0.0,0.112166,0.10516700000000001,0.012214280809773456,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,128,8,34.26243087152928,0.0,0.12241699999999998,0.11608399999999999,0.0056366473457189,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,128,10,34.952533333333335,0.0,0.12000000000000001,0.114208,0.004305826656984694,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,128,1,30.311140018066848,0.0,0.138375,0.137083,0.0020408849061130377,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,128,2,48.91316618075802,0.0,0.08574999999999999,0.07483300000000001,0.012244459183647104,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,128,4,56.330383163888854,0.0,0.074459,0.06674999999999999,0.011420455822776952,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,128,8,45.90209575923392,0.0,0.091375,0.07575,0.01346041248625019,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,128,10,61.68094117647059,0.0,0.068,0.06516699999999999,0.0018178486460649033,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,128,1,20.53102681958579,0.0,0.204291,0.1975,0.03410438362146425,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,128,2,30.70882906364628,0.0,0.13658299999999998,0.129,0.005610463198346462,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,128,4,40.73761400169,0.0,0.102959,0.089792,0.006866523669223024,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,128,8,42.72621145598826,0.0,0.09816699999999999,0.08325,0.01397096309493372,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,128,10,37.67350201647311,0.0,0.111333,0.08254099999999999,0.016756634304059992,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
naive-ijk,cpu,Apple M1 Pro,i32,256,1,2.8514495007435734,0.0,11.7675,11.451208,0.31514989926541326,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
ikj,cpu,Apple M1 Pro,i32,256,1,26.275140735497136,0.0,1.277041,1.276666,0.005011171988666946,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
tiled,cpu,Apple M1 Pro,i32,256,1,21.839404276313008,0.0,1.536417,1.517709,0.061550767202367206,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,256,1,25.371184711853925,0.0,1.322541,1.3147499999999999,0.016804841400620222,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,256,2,47.31534224709024,0.0,0.709166,0.6908329999999999,0.016417708305363453,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,256,4,88.55351435802564,0.0,0.378917,0.37479199999999996,0.017286471308511776,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,256,8,70.69061613850582,0.0,0.474666,0.3,0.15439159807353509,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,256,10,92.73432568525898,0.0,0.361834,0.31241599999999997,0.08979919144958932,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,256,1,20.722743464706202,0.0,1.619208,1.5711659999999998,0.039769233208599895,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,256,2,40.61458760759023,0.0,0.8261670000000001,0.81125,0.040062021884822545,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,256,4,70.13036044961103,0.0,0.478458,0.425416,0.1121912548900314,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,256,8,72.3740781881909,0.0,0.463625,0.438,0.030166394912219816,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
