kernel,backend,device,precision,n,threads,gops,mean_rel_error_f64,median_ms,min_ms,stddev_ms,block_size,repetitions,host,commit,timestamp
accelerate-blas,amx,Apple M1 Pro,f32,64,1,405.79566563467495,9.35095247668139e-8,0.0012920000000000002,0.0012920000000000002,0.00016725788471698416,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:44:54Z
accelerate-blas,amx,Apple M1 Pro,f32,128,1,633.1024905660378,1.4165008669846908e-7,0.006625,0.00625,0.004099729015435045,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:44:54Z
accelerate-blas,amx,Apple M1 Pro,f32,256,1,905.8482803304356,2.0261864064850236e-7,0.037042000000000005,0.036958,0.00007457412419867757,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:44:54Z
accelerate-blas,amx,Apple M1 Pro,f32,512,1,1968.3626471127407,1.8863139510344342e-7,0.136375,0.124375,0.017954356485265634,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:44:54Z
accelerate-blas,amx,Apple M1 Pro,f32,1024,1,1747.9339206761604,1.1589929630042104e-7,1.2285840000000001,1.180709,0.13481618667355932,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:44:54Z
accelerate-blas,amx,Apple M1 Pro,f32,2048,1,1831.8028760377142,3.136412475384265e-7,9.378667,9.313125,0.3812397843841855,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:44:54Z
accelerate-blas,amx,Apple M1 Pro,f32,4096,1,1664.1188705239915,3.290470972061699e-7,82.589625,81.94570900000001,0.3196473535096101,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:44:54Z
accelerate-blas,amx,Apple M1 Pro,f64,64,1,224.7269609944278,5.356541370317511e-17,0.002333,0.0022919999999999998,0.00006819237494031145,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:44:54Z
accelerate-blas,amx,Apple M1 Pro,f64,128,1,283.5521903731747,5.4262586891532086e-17,0.014792,0.013958,0.00042252893392050704,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:44:54Z
accelerate-blas,amx,Apple M1 Pro,f64,256,1,329.36865766871165,4.306914586639693e-17,0.101875,0.10179200000000001,0.00008003561707139884,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:44:54Z
accelerate-blas,amx,Apple M1 Pro,f64,512,1,457.6249198750733,2.3083202559600953e-17,0.586584,0.5770000000000001,0.02365170087541273,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:44:54Z
accelerate-blas,amx,Apple M1 Pro,f64,1024,1,483.8036942833005,1.1180661282986313e-17,4.43875,4.413958,0.12508570361436205,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:44:54Z
accelerate-blas,amx,Apple M1 Pro,f64,2048,1,445.17043495426094,6.673911013225907e-18,38.591667,37.661083,0.6362603612342993,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:44:54Z
accelerate-blas,amx,Apple M1 Pro,f64,4096,1,423.7386287968225,3.4226759867695466e-18,324.348417,323.186708,1.3753855215988349,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:44:54Z
