kernel,backend,device,precision,n,threads,gops,mean_rel_error_f64,median_ms,min_ms,stddev_ms,block_size,repetitions,host,commit,timestamp
accelerate-bnns,amx,Apple M1 Pro,f16,64,1,184.99929428369796,0.0007628484855553025,0.0028339999999999997,0.0026249999999999997,0.0006061893268608416,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:45:51Z
accelerate-bnns,amx,Apple M1 Pro,f16,128,1,818.4007804878048,0.0010956111110404614,0.005125,0.0050409999999999995,0.0002266457588396484,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:45:51Z
accelerate-bnns,amx,Apple M1 Pro,f16,256,1,1959.382890510949,0.0017561161890078398,0.017124999999999998,0.0165,0.0006058569963283405,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:45:51Z
accelerate-bnns,amx,Apple M1 Pro,f16,512,1,2547.43018742586,0.0018977167391994692,0.105375,0.10525,0.0017683039048760833,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:45:51Z
accelerate-bnns,amx,Apple M1 Pro,f16,1024,1,4546.141620534533,0.001560763510909546,0.472375,0.461792,0.040151876634847365,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:45:51Z
accelerate-bnns,amx,Apple M1 Pro,f16,2048,1,4213.075638280915,0.0038268298476769173,4.07775,3.9174170000000004,0.2787731589159902,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:45:51Z
accelerate-bnns,amx,Apple M1 Pro,f16,4096,1,3052.6867328744615,0.01713190415524571,45.022292,40.686958000000004,1.884802652132656,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:45:51Z
accelerate-bnns,amx,Apple M1 Pro,f32,64,1,267.6304236855539,9.35095247668139e-8,0.001959,0.001834,0.0003843394333138352,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:45:51Z
accelerate-bnns,amx,Apple M1 Pro,f32,128,1,713.924085106383,1.4165008669846908e-7,0.005875,0.005708,0.00011773359758369739,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:45:51Z
accelerate-bnns,amx,Apple M1 Pro,f32,256,1,1065.2200634920634,2.0261864064850236e-7,0.0315,0.028917,0.001205152148070939,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:45:51Z
accelerate-bnns,amx,Apple M1 Pro,f32,512,1,1476.2665728081658,1.8863139510344342e-7,0.181834,0.16154200000000002,0.009429489949090562,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:45:51Z
accelerate-bnns,amx,Apple M1 Pro,f32,1024,1,1631.2587625279348,1.3060833500163596e-7,1.316458,1.214167,0.0982868125625203,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:45:51Z
accelerate-bnns,amx,Apple M1 Pro,f32,2048,1,1988.046540084149,7.05958979417584e-8,8.641582999999999,8.539916,0.23767831166032038,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:45:51Z
accelerate-bnns,amx,Apple M1 Pro,f32,4096,1,2223.5564835616624,2.970816980170806e-7,61.810417,60.972583,0.48418190658904214,,5,Pauls-MacBook-Pro,7a6608c-dirty,2026-09-24T18:45:51Z
