kernel,backend,device,precision,n,threads,gops,mean_rel_error_f64,median_ms,min_ms,stddev_ms,block_size,repetitions,host,commit,timestamp
naive-ijk,cpu,Apple M1 Pro,f16,64,1,3.4455003088732044,0.0007464432646251799,0.152166,0.151458,0.000684569061527028,,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
ikj,cpu,Apple M1 Pro,f16,64,1,25.944576405384005,0.0007464432646251799,0.020208,0.019542,0.00036981252006929076,,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
tiled,cpu,Apple M1 Pro,f16,64,1,26.546227848101267,0.0007464432646251799,0.01975,0.019584,0.00040292890191695105,512,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
tiled,cpu,Apple M1 Pro,f16,64,1,26.324964852379996,0.0007464432646251799,0.019916,0.0195,0.00029520027100258514,1024,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
tiled,cpu,Apple M1 Pro,f16,64,1,26.771241830065357,0.0007464432646251799,0.019584,0.019459,0.01370986988267941,2048,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-ikj,cpu,Apple M1 Pro,f16,64,1,21.11170169928324,0.0007464432646251799,0.024834,0.023667,0.0011691331404078834,,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-ikj,cpu,Apple M1 Pro,f16,64,2,30.615357664233578,0.0007464432646251799,0.017124999999999998,0.016625,0.00024220074318630674,,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-ikj,cpu,Apple M1 Pro,f16,64,4,27.29387266385549,0.0007464432646251799,0.019208999999999997,0.017875000000000002,0.0017068811616512737,,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-ikj,cpu,Apple M1 Pro,f16,64,8,15.80751952241686,0.0007464432646251799,0.033167,0.022084,0.009428994071479735,,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-ikj,cpu,Apple M1 Pro,f16,64,10,10.763899154143058,0.0007464432646251799,0.048708,0.030083,0.01716389573203007,,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,1,22.349119740824417,0.0007464432646251799,0.023459,0.023083,0.0006356876591534548,512,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,1,22.35007246994629,0.0007464432646251799,0.023458,0.022917,0.0012047678199553647,1024,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,1,22.468843747321504,0.0007464432646251799,0.023334,0.022917,0.0012455868094998423,2048,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,2,32.85424238626395,0.0007464432646251799,0.015958,0.014834,0.0007822130144660089,512,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,2,32.59889324131071,0.0007464432646251799,0.016082999999999997,0.013375,0.0018774521298824108,1024,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,2,33.0260157480315,0.0007464432646251799,0.015875,0.013583,0.0016644464545307548,2048,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,4,31.7750303030303,0.0007464432646251799,0.0165,0.01575,0.00118332751172277,512,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,4,31.694353766170963,0.0007464432646251799,0.016541999999999998,0.014541,0.001664988378337819,1024,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,4,28.33989189189189,0.0007464432646251799,0.0185,0.013541,0.013117179262326183,2048,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,8,11.305401617250673,0.0007464432646251799,0.046375,0.025041,0.01859298610229137,512,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,8,21.43538165910299,0.0007464432646251799,0.024459,0.018583000000000002,0.01514395915208437,1024,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,8,18.921899812328572,0.0007464432646251799,0.027708,0.021583,0.016916881855117392,2048,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,10,7.449918294849023,0.0007464432646251799,0.07037500000000001,0.028625,0.020581836451104167,512,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,10,8.17080696942306,0.0007464432646251799,0.064166,0.039333,0.023135937056881876,1024,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,10,9.723983159300406,0.0007464432646251799,0.053917,0.027583,0.018308920757379447,2048,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-ikj,cpu,Apple M1 Pro,f16,64,1,20.593424722102203,0.0007464432646251799,0.025459000000000002,0.023,0.0017672267822778146,,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-ikj,cpu,Apple M1 Pro,f16,64,2,33.64271047227926,0.0007464432646251799,0.015583999999999999,0.015083,0.0012560205810415684,,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-ikj,cpu,Apple M1 Pro,f16,64,4,11.184810666666666,0.0007464432646251799,0.046875,0.023416,0.016646410985554815,,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-ikj,cpu,Apple M1 Pro,f16,64,8,14.926348754448394,0.0007464432646251799,0.035125,0.017708,0.014825308506064888,,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-ikj,cpu,Apple M1 Pro,f16,64,10,21.112551846333506,0.0007464432646251799,0.024833,0.023334,0.016137945975247283,,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-tiled,cpu,Apple M1 Pro,f16,64,1,19.094180202491078,0.0007464432646251799,0.027458,0.024334,0.003316665644890964,512,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-tiled,cpu,Apple M1 Pro,f16,64,1,20.132401505260734,0.0007464432646251799,0.026042,0.024083,0.013574163779032578,1024,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-tiled,cpu,Apple M1 Pro,f16,64,1,20.262338164251208,0.0007464432646251799,0.025875,0.02325,0.001595520667368492,2048,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-tiled,cpu,Apple M1 Pro,f16,64,2,34.47448711204629,0.0007464432646251799,0.015208000000000001,0.014875000000000001,0.0022762606836652065,512,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-tiled,cpu,Apple M1 Pro,f16,64,2,18.531316273151422,0.0007464432646251799,0.028292,0.026459,0.004894585324621484,1024,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-tiled,cpu,Apple M1 Pro,f16,64,2,20.0362288378492,0.0007464432646251799,0.026167,0.015167,0.007247168909305205,2048,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-tiled,cpu,Apple M1 Pro,f16,64,4,20.526505363714666,0.0007464432646251799,0.025542,0.019042000000000003,0.007378322898870717,512,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-tiled,cpu,Apple M1 Pro,f16,64,4,17.428049064255557,0.0007464432646251799,0.030083,0.023666,0.028297986877161417,1024,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-tiled,cpu,Apple M1 Pro,f16,64,4,10.690591737694222,0.0007464432646251799,0.049042,0.033207999999999994,0.01055520429456484,2048,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-tiled,cpu,Apple M1 Pro,f16,64,8,12.087331412103746,0.0007464432646251799,0.043375,0.021540999999999998,0.015986618410408125,512,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-tiled,cpu,Apple M1 Pro,f16,64,8,36.36595685648887,0.0007464432646251799,0.014417,0.012875,0.015374083988973134,1024,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-tiled,cpu,Apple M1 Pro,f16,64,8,16.11111793989306,0.0007464432646251799,0.032542,0.013125000000000001,0.019699563274346972,2048,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
static-tiled,cpu,Apple M1 Pro,f16,64,10,9.986438095238094,0.0007464432646251799,0.052500000000000005,0.017249999999999998,0.01889447347242045,512,5,Pauls-MacBook-Pro,25fcce9-dirty,2026-09-25T22:32:22Z
