kernel,backend,device,precision,n,threads,gops,mean_rel_error_f64,median_ms,min_ms,stddev_ms,block_size,repetitions,host,commit,timestamp
ikj,cpu,Apple M1 Pro,f16,64,1,25.731926380368098,0.0007464432646251799,0.020375,0.02025,0.0001272961114881366,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f16,128,1,42.51012506841263,0.0011165557453931836,0.09866599999999999,0.09825,0.014057770449114613,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f16,256,1,60.77325243377859,0.0017059664673413303,0.552125,0.5515,0.001241240427959077,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f16,512,1,52.597018001910406,0.0018356578962918102,5.103625,5.078667,0.04173594753566758,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f16,1024,1,51.51240982381159,0.003689507053755073,41.688666,41.449708,0.11832560124503806,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f16,2048,1,51.22057390728787,0.01681188043957227,335.409541,334.84858299999996,0.5704206059216491,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f16,4096,1,50.79634199583764,0.06571254066853494,2705.686041,2698.257458,6.155276194703651,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f32,64,1,21.11170169928324,9.631142459149073e-8,0.024834,0.02425,0.0007748881854822665,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f32,128,1,32.23288376560999,1.477530979147487e-7,0.13012500000000002,0.130084,0.0010078271181110342,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f32,256,1,25.52477249439556,2.1227173452103736e-7,1.314583,1.313,0.005407982923419728,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f32,512,1,26.59532346748096,1.243084139673532e-7,10.093333,10.083167000000001,0.10146705250079971,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f32,1024,1,26.237046106641948,1.531109965128801e-7,81.849292,81.818,0.04297148064356548,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f32,2048,1,24.840150260109514,3.668671531436935e-7,691.616959,690.936334,1.5161984163182485,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f32,4096,1,25.686001190397487,3.0532236166205797e-7,5350.733749999999,5348.967375,7.01007431992679,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f64,64,1,15.988777408435242,0.0,0.032791,0.032666999999999995,0.004696680881218142,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f64,128,1,14.882231676205413,0.0,0.281833,0.281125,0.005382465494548007,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f64,256,1,12.673408054388368,0.0,2.6476249999999997,2.561666,0.06123158319609251,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f64,512,1,13.010426062315588,0.0,20.632334,20.383958,0.15575951366609955,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f64,1024,1,12.748682218495377,0.0,168.4475,168.250708,0.40381189383882754,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f64,2048,1,12.674351601627478,0.0,1355.483083,1337.450042,9.311291481322852,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,f64,4096,1,12.826673449427895,0.0,10715.089458999999,10712.089584,9.575691498181628,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,i32,64,1,21.32639114871461,0.0,0.024584,0.024209,0.00020627336231321796,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,i32,128,1,32.16071524417829,0.0,0.130417,0.12995800000000002,0.0007798353672410584,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,i32,256,1,26.127648043605216,0.0,1.2842500000000001,1.2754999999999999,0.03995356801713705,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,i32,512,1,25.17211702925731,0.0,10.664,10.349832999999999,0.15001962495720403,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,i32,1024,1,26.290164904800047,0.0,81.683917,81.650959,0.3048062740131858,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,i32,2048,1,24.677008690155215,0.0,696.189291,695.741167,1.4289320009772324,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,i32,4096,1,25.746271881424843,0.0,5338.207959,5331.995042,3.1815559224143715,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,i64,64,1,6.387290912856499,0.0,0.082083,0.081875,0.0010346887454688982,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,i64,128,1,6.399853518977684,0.0,0.655375,0.652583,0.010856800486331093,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,i64,256,1,6.406268340413345,0.0,5.23775,5.222625,0.067699461613812,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,i64,512,1,6.298646594001524,0.0,42.617957999999994,42.241125,0.35285261321931766,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,i64,1024,1,6.249410551690466,0.0,343.629792,342.320458,0.7156062417057428,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
ikj,cpu,Apple M1 Pro,i64,2048,1,6.3394031548769325,0.0,2710.013666,2707.932709,2.6418485887057246,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
