kernel,backend,device,precision,n,threads,gops,mean_rel_error_f64,median_ms,min_ms,stddev_ms,block_size,repetitions,host,commit,timestamp
metal-naive,metal,Apple M1 Pro,f16,64,1,2.281576382119482,0.0007628484855553025,0.22979200000000002,0.21070799999999998,0.03990062786849351,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive-e2e,metal,Apple M1 Pro,f16,64,1,2.0836085444610037,0.0007628484855553025,0.251625,0.21787499999999999,0.03955941208865471,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive,metal,Apple M1 Pro,f16,128,1,16.813668032294014,0.0010956111110404614,0.24945799999999999,0.22945800000000002,0.07395983097127792,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive-e2e,metal,Apple M1 Pro,f16,128,1,16.368015609756096,0.0010956111110404614,0.25625000000000003,0.236041,0.07475402028453051,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive,metal,Apple M1 Pro,f16,256,1,84.14018335372826,0.0017561161890078398,0.39879200000000004,0.386125,0.10074639605564058,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive-e2e,metal,Apple M1 Pro,f16,256,1,78.99807416127133,0.0017561161890078398,0.42475,0.399792,0.09988032128102112,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive,metal,Apple M1 Pro,f16,512,1,166.1968218746556,0.0018977167391994692,1.6151659999999999,1.5190839999999999,1.058214285410805,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive-e2e,metal,Apple M1 Pro,f16,512,1,162.4502885471939,0.0018977167391994692,1.652416,1.555667,1.0625101271845367,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive,metal,Apple M1 Pro,f16,1024,1,378.55850311451576,0.003815252264607493,5.672792,5.4343330000000005,0.6271994465170548,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive-e2e,metal,Apple M1 Pro,f16,1024,1,366.8978635703611,0.003815252264607493,5.853083,5.616375,0.628212464665578,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive,metal,Apple M1 Pro,f16,2048,1,400.2804310563782,0.01712409063892777,42.919582999999996,42.860915999999996,4.928051863145061,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive-e2e,metal,Apple M1 Pro,f16,2048,1,394.3491309619793,0.01712409063892777,43.565125,43.499207999999996,5.328294065328668,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive,metal,Apple M1 Pro,f16,4096,1,288.1598424417875,0.06705984423700007,476.95387500000004,469.00175,9.946957175203051,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive-e2e,metal,Apple M1 Pro,f16,4096,1,286.35588586315856,0.06705984423700007,479.95854199999997,471.502292,11.738466809845084,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive,metal,Apple M1 Pro,f32,64,1,2.406823544533911,9.35095247668139e-8,0.217834,0.1625,0.0427729101242831,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive-e2e,metal,Apple M1 Pro,f32,64,1,2.3410103680154313,9.35095247668139e-8,0.22395800000000002,0.16820800000000002,0.0451061595017798,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive,metal,Apple M1 Pro,f32,128,1,20.1811261926643,1.4165008669846908e-7,0.207833,0.173041,0.019123652496319834,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive-e2e,metal,Apple M1 Pro,f32,128,1,19.247254688711756,1.4165008669846908e-7,0.217917,0.183167,0.01888011318027517,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive,metal,Apple M1 Pro,f32,256,1,103.53653847934017,2.0261864064850236e-7,0.324083,0.302583,0.3322446688478236,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
metal-naive-e2e,metal,Apple M1 Pro,f32,256,1,95.39284150675195,2.0261864064850236e-7,0.35175,0.332458,0.33077427255577174,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:28:35Z
