kernel,backend,device,precision,n,threads,gops,mean_rel_error_f64,median_ms,min_ms,stddev_ms,block_size,repetitions,host,commit,timestamp
metal-tiled,metal,Apple M1 Pro,f16,64,1,1.9394154616713462,0.0007628484855553025,0.270333,0.257542,0.11064728153551721,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,f16,64,1,1.8477110132158592,0.0007628484855553025,0.28375,0.267625,0.12128311583316119,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,f16,128,1,19.173961142857145,0.0010956111110404614,0.21875,0.209791,0.02287694524406613,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,f16,128,1,18.342410579576416,0.0010956111110404614,0.228667,0.222416,0.026401983330803007,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,f16,256,1,115.09335565152072,0.0017561161890078398,0.291541,0.253208,0.02586605011786685,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,f16,256,1,108.08042311681452,0.0017561161890078398,0.310458,0.269208,0.029154806924416438,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,f16,512,1,353.03035475916494,0.0018977167391994692,0.760375,0.684125,1.8303883716456733,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,f16,512,1,333.2188688192278,0.0018977167391994692,0.805583,0.7335,1.8280797771458992,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,f16,1024,1,611.7242431510575,0.003815252264607493,3.510542,2.321625,2.4431298304775986,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,f16,1024,1,585.4245615756832,0.003815252264607493,3.66825,2.509208,2.4461466540141243,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,f16,2048,1,988.0894164465112,0.01712409063892777,17.386958,17.216666,0.08280554574302423,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,f16,2048,1,955.6272513592481,0.01712409063892777,17.977584,17.777624999999997,0.1353875947467141,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,f16,4096,1,921.5426913232976,0.06705984423700007,149.140083,145.25987500000002,5.394336461850141,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,f16,4096,1,899.8170332261803,0.06705984423700007,152.74099999999999,148.167125,4.980994116019367,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,f32,64,1,2.3155960709490495,9.35095247668139e-8,0.226416,0.190167,0.04500184393222126,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,f32,64,1,2.2373535210426145,9.35095247668139e-8,0.234334,0.197291,0.047828921243323066,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,f32,128,1,13.706875816993463,1.4165008669846908e-7,0.306,0.231083,0.388215952488689,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,f32,128,1,12.852794989182861,1.4165008669846908e-7,0.326334,0.25608400000000003,0.38666364084524424,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,f32,256,1,107.47460667247476,2.0261864064850236e-7,0.31220800000000004,0.28454199999999996,0.037874939844176655,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,f32,256,1,96.69865129682996,2.0261864064850236e-7,0.347,0.31679100000000004,0.04247703119687155,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,f32,512,1,323.87119254277695,1.8863139510344342e-7,0.828834,0.7019580000000001,0.8728932820814924,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,f32,512,1,268.16728871128873,1.8863139510344342e-7,1.001,0.788041,0.8741396426662618,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,f32,1024,1,540.1115814889336,1.1589929630042104e-7,3.9760000000000004,3.9558340000000003,0.5521081525667774,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,f32,1024,1,499.82163342255325,1.1589929630042104e-7,4.2965,4.256291,0.6515620432459213,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,f32,2048,1,563.940792593635,3.136412475384265e-7,30.463959,30.260959,0.749502018737575,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,f32,2048,1,541.0598991882465,3.136412475384265e-7,31.752250000000004,31.603958000000002,1.1978399102494015,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,f32,4096,1,564.8467290538821,3.290470972061699e-7,243.320792,238.344125,4.18276729611527,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,f32,4096,1,540.6547029459592,3.290470972061699e-7,254.208375,242.987917,5.590371481700457,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,i32,64,1,2.269242255703533,0.0,0.231041,0.22412500000000002,0.0083647903022132,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,i32,64,1,2.1951983385950076,0.0,0.238834,0.23391699999999999,0.008998164173874596,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,i32,128,1,17.74120194910666,0.0,0.23641600000000002,0.212167,0.019773726082860564,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,i32,128,1,16.995299685565172,0.0,0.246792,0.22129100000000002,0.020693673049992842,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,i32,256,1,108.95746511710976,0.0,0.307959,0.289333,0.02833556148552558,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,i32,256,1,100.1125767154881,0.0,0.335167,0.31074999999999997,0.028312211273582993,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,i32,512,1,324.2953258834189,0.0,0.82775,0.758167,0.9127967285659497,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,i32,512,1,291.9893618525605,0.0,0.9193330000000001,0.829167,0.9269567604121565,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,i32,1024,1,464.44631478778047,0.0,4.62375,4.587417,0.274205233594656,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,i32,1024,1,438.0348166389634,0.0,4.902541,4.855125,0.417965671013781,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,i32,2048,1,489.35214279051047,0.0,35.107375000000005,35.013000000000005,1.6540801314850806,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,i32,2048,1,473.89256034597395,0.0,36.252667,36.184958,2.349562605891637,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,i32,4096,1,473.5986960113189,0.0,290.201292,279.977,8.19434453303146,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,i32,4096,1,464.8294566563591,0.0,295.676084,285.361917,9.965620430829508,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,i64,64,1,2.6596727964489535,0.0,0.197125,0.189708,0.010750160077877909,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,i64,64,1,2.5663783524482238,0.0,0.204291,0.197875,0.011320211164108203,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,i64,128,1,21.3858712555768,0.0,0.19612500000000002,0.190917,0.004332047414329623,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,i64,128,1,20.18102909052417,0.0,0.207834,0.202916,0.005082882381090476,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled,metal,Apple M1 Pro,i64,256,1,86.55500353396997,0.0,0.387666,0.36208300000000004,0.026824543748216842,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
metal-tiled-e2e,metal,Apple M1 Pro,i64,256,1,77.8826877235495,0.0,0.43083299999999997,0.39995800000000004,0.029973024376929322,,5,Pauls-MacBook-Pro,ae89483,2026-09-25T14:36:14Z
