kernel,backend,device,precision,n,threads,gops,mean_rel_error_f64,median_ms,min_ms,stddev_ms,block_size,repetitions,host,commit,timestamp
naive-ijk,cpu,Apple M1 Pro,f16,64,1,3.1076653152191955,0.0007464432646251799,0.168708,0.168708,0.00009335684227736716,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
naive-ijk,cpu,Apple M1 Pro,f16,128,1,2.977940414268654,0.0011165557453931836,1.408458,1.398959,0.05317395297793837,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
naive-ijk,cpu,Apple M1 Pro,f16,256,1,2.5015885039047214,0.0017059664673413303,13.41325,13.397625,0.26947429921014754,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
naive-ijk,cpu,Apple M1 Pro,f16,512,1,2.267938391868943,0.0018356578962918102,118.36099999999999,117.515541,2.2247494690339416,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
naive-ijk,cpu,Apple M1 Pro,f16,1024,1,2.1807696444644016,0.003689507053755073,984.736583,978.76875,17.952743137041768,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
naive-ijk,cpu,Apple M1 Pro,f16,2048,1,1.6400160194051578,0.01681188043957227,10475.427667,10445.839292,19.541691322300327,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
naive-ijk,cpu,Apple M1 Pro,f16,4096,1,0.685289581944579,0.06571254066853494,200556.023458,200397.586542,105.15180400629579,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
naive-ijk,cpu,Apple M1 Pro,f32,64,1,3.44359934318555,9.631142459149073e-8,0.15225,0.151709,0.005362284727613783,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
naive-ijk,cpu,Apple M1 Pro,f32,128,1,3.1460237262302657,1.477530979147487e-7,1.333208,1.3318329999999998,0.001679783408657276,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
naive-ijk,cpu,Apple M1 Pro,f32,256,1,2.444062542838284,2.1227173452103736e-7,13.728957999999999,13.675958,0.2428986648847626,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
naive-ijk,cpu,Apple M1 Pro,f32,512,1,2.2669998817667425,1.243084139673532e-7,118.41,117.45025000000001,0.8137872581504331,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
naive-ijk,cpu,Apple M1 Pro,f32,1024,1,2.073297103139135,1.531109965128801e-7,1035.781917,1030.613416,5.506789092062781,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
naive-ijk,cpu,Apple M1 Pro,f32,2048,1,0.7303480799173481,3.668671531436935e-7,23522.851167,23474.690708000002,25.962754450388328,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
