kernel,backend,device,precision,n,threads,gops,mean_rel_error_f64,median_ms,min_ms,stddev_ms,block_size,repetitions,host,commit,timestamp
rayon-ikj,cpu,Apple M1 Pro,f16,64,1,15.069644448276854,0.0007464432646251799,0.034791,0.023917,0.006249838573915329,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,64,2,32.85424238626395,0.0007464432646251799,0.015958,0.015458,0.00037346177849948754,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,64,4,28.275698414410527,0.0007464432646251799,0.018542,0.017374999999999998,0.0007693071558226933,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,64,8,14.298633648785012,0.0007464432646251799,0.036667,0.023583,0.029830640081969416,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,64,10,6.9866872776215665,0.0007464432646251799,0.075041,0.072542,0.011724439700898294,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,128,1,38.33320233601726,0.0011165557453931836,0.109417,0.106,0.011939828193906312,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,128,2,71.79937347005153,0.0011165557453931836,0.058417,0.058041999999999996,0.00018475984412203968,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,128,4,100.76406006006006,0.0011165557453931836,0.041625,0.039875,0.0019333319166661466,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,128,8,32.409219808835005,0.0011165557453931836,0.129417,0.04575,0.05617574503911808,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,128,10,65.32268062109674,0.0011165557453931836,0.06420899999999999,0.052125,0.007056891652845465,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,256,1,59.10071686481726,0.0017059664673413303,0.56775,0.565209,0.002173473326268362,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,256,2,103.27077992225708,0.0017059664673413303,0.32491699999999996,0.302375,0.01776272709073693,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,256,4,182.73346221919672,0.0017059664673413303,0.183625,0.17304199999999997,0.02597175266130494,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,256,8,192.56488952654232,0.0017059664673413303,0.17425000000000002,0.13741599999999998,0.040518633660329664,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,256,10,221.7873634254516,0.0017059664673413303,0.151291,0.132042,0.017973801119963467,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,512,1,52.62494096649681,0.0018356578962918102,5.100917,5.080875000000001,0.039202345487228174,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,512,2,99.59882114911618,0.0018356578962918102,2.695167,2.6672919999999998,0.041308384021890784,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,512,4,188.7013843537726,0.0018356578962918102,1.422541,1.375416,0.03674462357270789,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,512,8,334.4990105919003,0.0018356578962918102,0.8025,0.73725,0.10242462669202164,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,512,10,349.2034114384136,0.0018356578962918102,0.768708,0.718917,0.05148158260485008,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,1024,1,50.93561305242435,0.003689507053755073,42.16075,41.545375,1.1980913512489333,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,1024,2,98.18302406016755,0.003689507053755073,21.87225,21.521124999999998,1.5145153359092145,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,1024,4,186.5991059510405,0.003689507053755073,11.508542,11.263791000000001,0.7368299141160731,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,1024,8,222.98292347946554,0.003689507053755073,9.630709,8.454082999999999,0.9691551292578502,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,1024,10,287.73144610437464,0.003689507053755073,7.4635,6.979125,0.5487310557119941,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,2048,1,51.06624253144199,0.01681188043957227,336.423209,336.039417,1.1800062961826547,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-ikj,cpu,Apple M1 Pro,f16,2048,2,98.97651503318376,0.01681188043957227,173.575208,173.266416,1.035412613016281,,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
