kernel,backend,device,precision,n,threads,gops,mean_rel_error_f64,median_ms,min_ms,stddev_ms,block_size,repetitions,host,commit,timestamp
rayon-tiled,cpu,Apple M1 Pro,f16,64,1,5.079916285559259,0.0007464432646251799,0.10320800000000001,0.098,0.00278370233681692,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,1,15.196753623188407,0.0007464432646251799,0.034499999999999996,0.034083,0.0008666298517821758,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,1,17.672430646846664,0.0007464432646251799,0.029667,0.023791999999999997,0.0029765694179709644,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,1,21.290883248730964,0.0007464432646251799,0.024624999999999998,0.022666,0.002998985961954474,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,1,21.694376629287873,0.0007464432646251799,0.024167,0.024,0.0014870506043843973,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,2,9.327474247896244,0.0007464432646251799,0.056208999999999995,0.053334,0.004293173220358102,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,2,17.260510288065845,0.0007464432646251799,0.030375,0.028249999999999997,0.0023331357225845222,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,2,32.684246618041264,0.0007464432646251799,0.016041,0.015834,0.00027435597314438024,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,2,33.0260157480315,0.0007464432646251799,0.015875,0.015583999999999999,0.00017751394311433735,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,2,31.694353766170963,0.0007464432646251799,0.016541999999999998,0.015167,0.0007387085352153447,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,4,12.93197178234917,0.0007464432646251799,0.040542,0.037084,0.019122083916247205,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,4,28.33989189189189,0.0007464432646251799,0.0185,0.01525,0.0024311654201226223,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,4,28.467611445946677,0.0007464432646251799,0.018417,0.014875000000000001,0.004224175327800682,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,4,26.60280089303836,0.0007464432646251799,0.019708,0.013625000000000002,0.0028483667600925264,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,4,32.85218372078451,0.0007464432646251799,0.015959,0.013125000000000001,0.001813503019021474,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,8,11.407981200226294,0.0007464432646251799,0.045958000000000006,0.038542,0.01737850181114586,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,8,21.254631694166296,0.0007464432646251799,0.024666999999999998,0.015583999999999999,0.00526907119898754,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,8,15.363750915750913,0.0007464432646251799,0.034125,0.023375,0.01330361474562459,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,8,18.72457142857143,0.0007464432646251799,0.028,0.018375,0.012001856285591824,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,8,19.44832702722754,0.0007464432646251799,0.026958,0.021583,0.005996241306018297,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,10,10.772967308443093,0.0007464432646251799,0.048667,0.040707999999999994,0.006583191460074667,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,10,10.373313284001425,0.0007464432646251799,0.050542,0.020083,0.024868579688032043,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,10,5.971933661381446,0.0007464432646251799,0.08779200000000001,0.031083,0.03683481827972007,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,10,16.622427950921022,0.0007464432646251799,0.031541,0.027125,0.02293603545297225,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,64,10,17.500183584231785,0.0007464432646251799,0.029959,0.026,0.004777769280741799,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,128,1,6.08053442197068,0.0011165557453931836,0.6897920000000001,0.6613749999999999,0.019306710841052146,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,128,1,18.072430983742887,0.0011165557453931836,0.232083,0.231125,0.0052114497503094204,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,128,1,26.105734878567958,0.0011165557453931836,0.160666,0.159417,0.0005929260493518516,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,128,1,40.475792521109774,0.0011165557453931836,0.103625,0.103292,0.0015740747440957192,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,128,1,40.26557609968703,0.0011165557453931836,0.10416600000000001,0.10341700000000001,0.0005222149940398079,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,128,2,11.454651715342223,0.0011165557453931836,0.366166,0.349167,0.014843857696030362,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,128,2,28.37190613733064,0.0011165557453931836,0.147833,0.146708,0.002781077435095974,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
rayon-tiled,cpu,Apple M1 Pro,f16,128,2,48.65330363771344,0.0011165557453931836,0.08620799999999999,0.0855,0.010844650630610464,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
