kernel,backend,device,precision,n,threads,gops,mean_rel_error_f64,median_ms,min_ms,stddev_ms,block_size,repetitions,host,commit,timestamp
static-tiled,cpu,Apple M1 Pro,f16,64,1,5.882614305750351,0.0007464432646251799,0.089125,0.088375,0.0008430846339484534,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,1,14.169945945945946,0.0007464432646251799,0.037,0.035207999999999996,0.0019349267944808678,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,1,22.075284210526313,0.0007464432646251799,0.02375,0.0235,0.00107137962459625,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,1,21.58363179778519,0.0007464432646251799,0.024290999999999997,0.023209,0.0029337391329155357,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,1,22.192084656084656,0.0007464432646251799,0.023625,0.023416,0.0009785158659929838,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,2,6.775935379644588,0.0007464432646251799,0.077375,0.070167,0.0048174689412595045,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,2,23.96745142857143,0.0007464432646251799,0.021875,0.02075,0.0007541183594105096,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,2,33.46447947916001,0.0007464432646251799,0.015667,0.013417,0.004201134941893678,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,2,33.64271047227926,0.0007464432646251799,0.015583999999999999,0.013541,0.0030700276383120732,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,2,31.7750303030303,0.0007464432646251799,0.0165,0.015209,0.0009829858595117227,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,4,9.42540224719101,0.0007464432646251799,0.055624999999999994,0.0515,0.004812043349763177,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,4,19.661291532288306,0.0007464432646251799,0.026666,0.021292,0.005994577658184104,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,4,19.358564413100467,0.0007464432646251799,0.027083000000000003,0.011958,0.015962665645185958,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,4,33.37500795722197,0.0007464432646251799,0.015709,0.012417,0.0023432174888387987,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,4,21.69527435239593,0.0007464432646251799,0.024166,0.020416,0.005043542376147937,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,8,7.525629063975771,0.0007464432646251799,0.06966699999999999,0.045834,0.016369470449589994,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,8,8.377482702970456,0.0007464432646251799,0.062583,0.024333,0.01919839728987813,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,8,15.689729470912138,0.0007464432646251799,0.033416,0.017625000000000002,0.015798744459608174,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,8,10.708934188488092,0.0007464432646251799,0.048958,0.021917,0.016785328957157796,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,8,12.446005934718102,0.0007464432646251799,0.042125,0.016708,0.014759419544819505,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,10,8.316487421084357,0.0007464432646251799,0.063042,0.035625,0.01631786801944421,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,10,11.315649752875922,0.0007464432646251799,0.046333,0.036625000000000005,0.010809218741426228,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,10,13.965744119762395,0.0007464432646251799,0.037541,0.030042000000000003,0.007231013186269265,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,10,13.486508038585209,0.0007464432646251799,0.038875,0.034999999999999996,0.012380356085347466,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,64,10,12.336188235294117,0.0007464432646251799,0.0425,0.024,0.020530407428982017,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,1,6.20879826864947,0.0011165557453931836,0.675542,0.668541,0.007064299929929334,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,1,17.15167128754979,0.0011165557453931836,0.24454199999999998,0.243791,0.008009546223101523,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,1,26.200808330678463,0.0011165557453931836,0.160083,0.159,0.0012199954917949504,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,1,40.2976855009944,0.0011165557453931836,0.104083,0.103791,0.0021528902201459355,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,1,40.281430972388954,0.0011165557453931836,0.104125,0.103791,0.0002100635618092767,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,2,11.208482982726185,0.0011165557453931836,0.374208,0.371625,0.0026800445891813104,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,2,27.46617073106845,0.0011165557453931836,0.15270799999999998,0.150542,0.004087179320754108,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,2,38.158828934559715,0.0011165557453931836,0.109917,0.107667,0.0013101399543560233,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,2,51.62220307692308,0.0011165557453931836,0.08125,0.078875,0.002024403245403447,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,2,50.231185628742516,0.0011165557453931836,0.08349999999999999,0.080916,0.00895506064747749,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,4,19.937273915626857,0.0011165557453931836,0.210375,0.204167,0.004763129097557611,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,4,52.07598520026818,0.0011165557453931836,0.080542,0.070792,0.017706890884624557,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,4,57.85246896551724,0.0011165557453931836,0.0725,0.07179100000000001,0.000988232917889297,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,4,77.55309431799272,0.0011165557453931836,0.054083,0.040416,0.017324775779212844,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,4,64.56848165766098,0.0011165557453931836,0.064959,0.055208,0.0059203055917748,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,8,25.581419745180195,0.0011165557453931836,0.163959,0.152709,0.023100714517087995,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,8,40.233131894484416,0.0011165557453931836,0.10425,0.08333299999999999,0.01296016000287034,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,8,53.092455696202535,0.0011165557453931836,0.079,0.072875,0.008641017735197635,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,8,67.74074971332591,0.0011165557453931836,0.061917,0.04975,0.0112195295489606,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,8,48.02601506858726,0.0011165557453931836,0.087334,0.067167,0.009670974909490771,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,10,18.87557603686636,0.0011165557453931836,0.222208,0.212959,0.02086985782174856,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,10,33.666744258847515,0.0011165557453931836,0.124583,0.086542,0.04183180101908117,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,10,66.35716997848374,0.0011165557453931836,0.063208,0.044875,0.008990190337250929,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,10,82.0401760391198,0.0011165557453931836,0.051125000000000004,0.040874999999999995,0.005222374814200913,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,128,10,74.95450159047857,0.0011165557453931836,0.055958,0.04375,0.019526511434457515,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,256,1,6.1991937863276965,0.0017059664673413303,5.4127089999999995,5.329375,0.07019484814286606,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,256,1,16.80136796645177,0.0017059664673413303,1.9971250000000003,1.9942499999999999,0.014740567468723957,32,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,256,1,25.90325735790794,0.0017059664673413303,1.2953750000000002,1.274583,0.02163037515162411,64,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,256,1,39.16862814679234,0.0017059664673413303,0.8566659999999999,0.8376250000000001,0.0150426922623578,128,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,256,1,56.91610097329792,0.0017059664673413303,0.589542,0.574542,0.007731378803292477,256,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
static-tiled,cpu,Apple M1 Pro,f16,256,2,11.686012036918045,0.0017059664673413303,2.871333,2.865875,0.025312513292835914,16,5,Pauls-MacBook-Pro,eca62af-dirty,2026-09-23T22:37:09Z
